id,vendor,series,name,slug,description,specs,warranty,features,source_url,source_updated_at,active,created_at,updated_at,category,sku,coverage_sqft_per_box
26,Harbinger,Craftsman Series,Botswana,harbinger-craftsman-series-botswana,"Where style, design, performance and price come together in harmony.",,,[object Object],https://www.harbingerfloors.com/craftsman,Sun Jan 18 2026 20:47:15 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 20:47:15 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 20:47:15 GMT-0800 (Pacific Standard Time),,,
27,Harbinger,Craftsman Series,Kenya,harbinger-craftsman-series-kenya,"Where style, design, performance and price come together in harmony.",,,[object Object],https://www.harbingerfloors.com/craftsman,Sun Jan 18 2026 20:47:16 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 20:47:16 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 20:47:16 GMT-0800 (Pacific Standard Time),,,
28,Harbinger,Craftsman Series,Tanzania,harbinger-craftsman-series-tanzania,"Where style, design, performance and price come together in harmony.",,,[object Object],https://www.harbingerfloors.com/craftsman,Sun Jan 18 2026 20:47:16 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 20:47:16 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 20:47:16 GMT-0800 (Pacific Standard Time),,,
29,Harbinger,Craftsman Series,Brunei,harbinger-craftsman-series-brunei,"Where style, design, performance and price come together in harmony.",,,[object Object],https://www.harbingerfloors.com/craftsman,Sun Jan 18 2026 20:47:16 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 20:47:16 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 20:47:16 GMT-0800 (Pacific Standard Time),,,
30,Harbinger,Craftsman Series,Jakarta,harbinger-craftsman-series-jakarta,"Where style, design, performance and price come together in harmony.",,,[object Object],https://www.harbingerfloors.com/craftsman,Sun Jan 18 2026 20:47:16 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 20:47:16 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 20:47:16 GMT-0800 (Pacific Standard Time),,,
31,Harbinger,Craftsman Series,Tonga,harbinger-craftsman-series-tonga,"Where style, design, performance and price come together in harmony.",,,[object Object],https://www.harbingerfloors.com/craftsman,Sun Jan 18 2026 20:47:16 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 20:47:16 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 20:47:16 GMT-0800 (Pacific Standard Time),,,
32,Harbinger,Craftsman Series,Bali,harbinger-craftsman-series-bali,"Where style, design, performance and price come together in harmony.",,,[object Object],https://www.harbingerfloors.com/craftsman,Sun Jan 18 2026 20:47:16 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 20:47:16 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 20:47:16 GMT-0800 (Pacific Standard Time),,,
33,Harbinger,Craftsman Series,Paris,harbinger-craftsman-series-paris,"Where style, design, performance and price come together in harmony.",,,[object Object],https://www.harbingerfloors.com/craftsman,Sun Jan 18 2026 20:47:16 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 20:47:16 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 20:47:16 GMT-0800 (Pacific Standard Time),,,
34,Harbinger,Essentials,Hampton Greige,harbinger-essentials-hampton-greige,Heavy commercial glue down,[object Object],,[object Object],https://www.harbingerfloors.com/product-page/hampton-greige,Sun Jan 18 2026 22:12:56 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 20:47:17 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:56 GMT-0800 (Pacific Standard Time),Essentials,HES 23066R,32.00
35,Harbinger,Essentials,Beach House,harbinger-essentials-beach-house,Heavy commercial glue down,[object Object],,[object Object],https://www.harbingerfloors.com/product-page/beach-house,Sun Jan 18 2026 22:13:00 GMT-0800 (Pacific Standard Time),true,Sun Jan 18 2026 20:47:17 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:13:00 GMT-0800 (Pacific Standard Time),Essentials,HES 23077R,32.00
