id,vendor,series,name,sku,slug,active,source_url,created_at,updated_at
41,Harbinger,Contract,Sienna,HVP 22099T,harbinger-contract-sienna,true,https://www.harbingerfloors.com/product-page/sienna,Sun Jan 18 2026 21:21:14 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:54 GMT-0800 (Pacific Standard Time)
42,Harbinger,Contract,Melbourne,HVP 33011T,harbinger-contract-melbourne,true,https://www.harbingerfloors.com/product-page/melbourne,Sun Jan 18 2026 21:21:14 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:54 GMT-0800 (Pacific Standard Time)
43,Harbinger,Contract,Canberra,HVP 33022T,harbinger-contract-canberra,true,https://www.harbingerfloors.com/product-page/canberra,Sun Jan 18 2026 21:21:14 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:55 GMT-0800 (Pacific Standard Time)
44,Harbinger,Contract,Winton,HVP 33044T,harbinger-contract-winton,true,https://www.harbingerfloors.com/product-page/winton,Sun Jan 18 2026 21:21:14 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:55 GMT-0800 (Pacific Standard Time)
45,Harbinger,Contract,Perth,HVP 33033T,harbinger-contract-perth,true,https://www.harbingerfloors.com/product-page/perth,Sun Jan 18 2026 21:21:14 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:55 GMT-0800 (Pacific Standard Time)
46,Harbinger,Craftsman,Marla,HVP 33066T,harbinger-craftsman-marla,true,https://www.harbingerfloors.com/product-page/marla,Sun Jan 18 2026 21:21:14 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:55 GMT-0800 (Pacific Standard Time)
47,Harbinger,Craftsman,Cairns,HVP 33077T,harbinger-craftsman-cairns,true,https://www.harbingerfloors.com/product-page/cairns,Sun Jan 18 2026 21:21:15 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:55 GMT-0800 (Pacific Standard Time)
48,Harbinger,Craftsman,Brisbane,HVP 33088T,harbinger-craftsman-brisbane,true,https://www.harbingerfloors.com/product-page/brisbane,Sun Jan 18 2026 21:21:15 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:56 GMT-0800 (Pacific Standard Time)
49,Harbinger,Essentials,Tennessee Hickory,HES 88102T,harbinger-essentials-tennessee-hickory,true,https://www.harbingerfloors.com/product-page/tennessee-hickory,Sun Jan 18 2026 21:21:15 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:56 GMT-0800 (Pacific Standard Time)
50,Harbinger,Essentials,Carolina Spalted Cherry,HES 88088T,harbinger-essentials-carolina-spalted-cherry,true,https://www.harbingerfloors.com/product-page/carolina-spalted-cherry,Sun Jan 18 2026 21:21:15 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:56 GMT-0800 (Pacific Standard Time)
52,Harbinger,Essentials,Laurel Oak,HES 23088R,harbinger-essentials-laurel-oak,true,https://www.harbingerfloors.com/product-page/laurel-oak,Sun Jan 18 2026 21:21:15 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:57 GMT-0800 (Pacific Standard Time)
53,Harbinger,Essentials,Copenhagen,TQZ 2301R,harbinger-essentials-copenhagen,true,https://www.harbingerfloors.com/product-page/copenhagen,Sun Jan 18 2026 21:21:15 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:57 GMT-0800 (Pacific Standard Time)
54,Harbinger,Essentials,Coastal Fog,TQZ 2303T,harbinger-essentials-coastal-fog,true,https://www.harbingerfloors.com/product-page/coastal-fog,Sun Jan 18 2026 21:21:15 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:57 GMT-0800 (Pacific Standard Time)
55,Harbinger,Essentials,Bianco,TQZ 2402T,harbinger-essentials-bianco,true,https://www.harbingerfloors.com/product-page/bianco,Sun Jan 18 2026 21:21:15 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:57 GMT-0800 (Pacific Standard Time)
56,Harbinger,Signature Acoustic Click,Nottingham,WPC 33099R,harbinger-signature-acoustic-click-nottingham,true,https://www.harbingerfloors.com/product-page/nottingham,Sun Jan 18 2026 21:21:16 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:57 GMT-0800 (Pacific Standard Time)
57,Harbinger,Signature Acoustic Click,Sheffield,SAC 55121R,harbinger-signature-acoustic-click-sheffield,true,https://www.harbingerfloors.com/product-page/sheffield,Sun Jan 18 2026 21:21:16 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:58 GMT-0800 (Pacific Standard Time)
58,Harbinger,Signature Acoustic Click,Knoxville,SAC 55107R,harbinger-signature-acoustic-click-knoxville,true,https://www.harbingerfloors.com/product-page/knoxville-1,Sun Jan 18 2026 21:21:16 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:58 GMT-0800 (Pacific Standard Time)
59,Harbinger,Signature Acoustic Click,Birmingham,SAC 55116R,harbinger-signature-acoustic-click-birmingham,true,https://www.harbingerfloors.com/product-page/birmingham,Sun Jan 18 2026 21:21:16 GMT-0800 (Pacific Standard Time),Sun Jan 18 2026 22:12:58 GMT-0800 (Pacific Standard Time)
